feature_set,feature_access,temperature,validation_f1_threshold,n_train,n_validation,n_test,scope,chromosome,n,positive_fraction,threshold,auroc,auprc,accuracy,precision,recall,f1,nll,brier,ece,task,subtask,fold,seed,closure,context,balanced_accuracy,n_val,positive_prevalence,normalized_ap
coordinate,"reference coordinate, node length, and constant orientation",19.99999824206123,0.499602457207588,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.499602457207588,0.4966173226659371,0.4608812563081215,0.4601684492394874,0.4601684492394874,1.0,0.6302950176456164,0.6931472923997153,0.2500000559199123,0.0398314171391951,p1,thyroid_gland,fold_a,20260806,1hop,1hop,0.5,63864,0.4601684492394874,0.0013204249874425
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,1.1398414005206023,0.4050665385782155,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.4050665385782155,0.631091803277249,0.5618304785849701,0.5270032537792101,0.4924406443800228,0.9080113674808852,0.6385676897454199,0.6710621523419993,0.2389510160783885,0.0509758276148918,p1,thyroid_gland,fold_a,20260806,1hop,1hop,0.555115993762072,63864,0.4601684492394874,0.1883217629689514
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.325853749046641,0.3679937407405998,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.3679937407405998,0.6531664231769849,0.589076154797638,0.5310821540329737,0.4949108953926398,0.9245212801948712,0.6447023851652629,0.6594544726640743,0.2336081112580777,0.0491235404346487,p1,thyroid_gland,fold_a,20260806,1hop,1hop,0.5601121181075293,63864,0.4601684492394874,0.2387924629017067
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,1.5275338949714743,0.3593601731911073,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.3593601731911073,0.5326532532447661,0.4831206864558137,0.460386405741597,0.4602613422212531,0.99979700926991,0.6303418119767504,0.6913553943853229,0.2491080014531381,0.0379636330942674,p1,thyroid_gland,fold_a,20260806,1hop,1hop,0.5001868968483653,63864,0.4601684492394874,0.0425174060019116
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,1.314733848028144,0.3651056704405181,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.3651056704405181,0.6537581140800097,0.5890112276302126,0.5298055516634752,0.494191080964064,0.9267880100142092,0.6446405459465819,0.6593356232812958,0.233554974428354,0.0497627560727918,p1,thyroid_gland,fold_a,20260806,1hop,1hop,0.5590969610272921,63864,0.4601684492394874,0.2386721898881456
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,1.5130471803035337,0.3604826728230663,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.3604826728230663,0.5327241058394936,0.4833400248909123,0.460386405741597,0.4602613422212531,0.99979700926991,0.6303418119767504,0.6913249761894976,0.2490928380788606,0.0381314702766299,p1,thyroid_gland,fold_a,20260806,1hop,1hop,0.5001868968483653,63864,0.4601684492394874,0.0429237150344044
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",1.3223760795002373,0.3650536681633147,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.3650536681633147,0.6545550802735404,0.5923295669670519,0.5327479644419535,0.495873165599434,0.924825766290006,0.6455924898151975,0.6584096398741388,0.2331213085880295,0.0480168310092261,p1,thyroid_gland,fold_a,20260806,1hop,1hop,0.561677483000807,63864,0.4601684492394874,0.2448191802449789
coordinate,"reference coordinate, node length, and constant orientation",19.99999824206123,0.499602457207588,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.499602457207588,0.4966173226659371,0.4608812563081215,0.4601684492394874,0.4601684492394874,1.0,0.6302950176456164,0.6931472923997153,0.2500000559199123,0.0398314171391951,p1,thyroid_gland,fold_a,20260806,strict,strict,0.5,63864,0.4601684492394874,0.0013204249874425
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,1.1398414005206023,0.4050665385782155,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.4050665385782155,0.631091803277249,0.5618304785849701,0.5270032537792101,0.4924406443800228,0.9080113674808852,0.6385676897454199,0.6710621523419993,0.2389510160783885,0.0509758276148918,p1,thyroid_gland,fold_a,20260806,strict,strict,0.555115993762072,63864,0.4601684492394874,0.1883217629689514
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.325853749046641,0.3679937407405998,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.3679937407405998,0.6531664231769849,0.589076154797638,0.5310821540329737,0.4949108953926398,0.9245212801948712,0.6447023851652629,0.6594544726640743,0.2336081112580777,0.0491235404346487,p1,thyroid_gland,fold_a,20260806,strict,strict,0.5601121181075293,63864,0.4601684492394874,0.2387924629017067
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,1.1993270794318425,0.3603483382723521,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.3603483382723521,0.5151948435378577,0.4680562680132716,0.4602307225258045,0.4601958677814626,0.9999661682116516,0.6303140161006557,0.6931577783557357,0.2500038945466666,0.0387975432139444,p1,thyroid_gland,fold_a,20260806,strict,strict,0.5000551821591783,63864,0.4601684492394874,0.0146116297994658
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,1.314733848028144,0.3651056704405181,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.3651056704405181,0.6537581140800097,0.5890112276302126,0.5298055516634752,0.494191080964064,0.9267880100142092,0.6446405459465819,0.6593356232812958,0.233554974428354,0.0497627560727918,p1,thyroid_gland,fold_a,20260806,strict,strict,0.5590969610272921,63864,0.4601684492394874,0.2386721898881456
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,1.28344417119591,0.3657187543433034,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.3657187543433034,0.5187814170353079,0.4710719203385684,0.4602462908473837,0.460203033039579,0.9999661682116516,0.6303207370127101,0.6929352101773015,0.2498925791466335,0.0394156415789215,p1,thyroid_gland,fold_a,20260806,strict,strict,0.5000696017698489,63864,0.4601684492394874,0.0201979137449824
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",1.3159839457969638,0.3885328522077504,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.3885328522077504,0.6535961478691608,0.5894454919703163,0.5440038609437516,0.5025385518887584,0.8974558495162054,0.6442970951131837,0.6593569764947262,0.2335530253044181,0.0493118277833779,p1,thyroid_gland,fold_a,20260806,strict,strict,0.5700833681611308,63864,0.4601684492394874,0.2394766340513144
coordinate,"reference coordinate, node length, and constant orientation",19.99999824206123,0.499602457207588,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.499602457207588,0.4966173226659371,0.4608812563081215,0.4601684492394874,0.4601684492394874,1.0,0.6302950176456164,0.6931472923997153,0.2500000559199123,0.0398314171391951,p1,thyroid_gland,fold_a,314159,1hop,1hop,0.5,63864,0.4601684492394874,0.0013204249874425
sequence_kmer,mono/di/tri-nucleotide composition; no graph adjacency,1.1398414005206023,0.4050665385782155,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.4050665385782155,0.631091803277249,0.5618304785849701,0.5270032537792101,0.4924406443800228,0.9080113674808852,0.6385676897454199,0.6710621523419993,0.2389510160783885,0.0509758276148918,p1,thyroid_gland,fold_a,314159,1hop,1hop,0.555115993762072,63864,0.4601684492394874,0.1883217629689514
frozen_sequence_fm,S-FM: frozen pretrained sequence-model embedding only; no graph adjacency,1.325853749046641,0.3679937407405998,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.3679937407405998,0.6531664231769849,0.589076154797638,0.5310821540329737,0.4949108953926398,0.9245212801948712,0.6447023851652629,0.6594544726640743,0.2336081112580777,0.0491235404346487,p1,thyroid_gland,fold_a,314159,1hop,1hop,0.5601121181075293,63864,0.4601684492394874,0.2387924629017067
frozen_pangenomefm,frozen topology-pretrained node embedding; current encoder has no nucleotide input,1.262604543423522,0.3987211658528451,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.3987211658528451,0.5250949336567656,0.4790427427415079,0.4605420889573895,0.4602264740335806,0.9968874754719534,0.6297297586100039,0.6921541813075913,0.2494990442979511,0.0372848322911161,p1,thyroid_gland,fold_a,314159,1hop,1hop,0.500116412573756,63864,0.4601684492394874,0.0349633019326684
coordinate_plus_frozen_sequence_fm,C+S-FM: coordinate and frozen sequence-model embedding,1.314733848028144,0.3651056704405181,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.3651056704405181,0.6537581140800097,0.5890112276302126,0.5298055516634752,0.494191080964064,0.9267880100142092,0.6446405459465819,0.6593356232812958,0.233554974428354,0.0497627560727918,p1,thyroid_gland,fold_a,314159,1hop,1hop,0.5590969610272921,63864,0.4601684492394874,0.2386721898881456
coordinate_plus_frozen_pangenomefm,C+T: coordinate and frozen topology embedding; no nucleotide input,1.3652401420541695,0.407277475848916,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.407277475848916,0.5227889687197675,0.4762236298102137,0.4607133404947612,0.4602956342385699,0.9966168211651668,0.6297404762922741,0.6924157334858246,0.24963055320528,0.0377215262892055,p1,thyroid_gland,fold_a,314159,1hop,1hop,0.5002550580231026,63864,0.4601684492394874,0.0297410933986866
coordinate_plus_frozen_sequence_fm_plus_frozen_pangenomefm,"C+S-FM+T: coordinate, frozen sequence-model, and topology embeddings",1.3073402004669772,0.38495440524907,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.38495440524907,0.6521998541062058,0.5896027022570346,0.5419332741737113,0.5012769821600863,0.8964408958657555,0.642998410522101,0.6592671937822098,0.2335419049088063,0.0478484861267821,p1,thyroid_gland,fold_a,314159,1hop,1hop,0.5680906714368431,63864,0.4601684492394874,0.2397678550562683
coordinate,"reference coordinate, node length, and constant orientation",19.99999824206123,0.499602457207588,132799,63864,64233,all_test_chromosomes,all,64233,0.4601684492394874,0.499602457207588,0.4966173226659371,0.4608812563081215,0.4601684492394874,0.4601684492394874,1.0,0.6302950176456164,0.6931472923997153,0.2500000559199123,0.0398314171391951,p1,thyroid_gland,fold_a,314159,strict,strict,0.5,63864,0.4601684492394874,0.0013204249874425
